danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057,audio_features,6ufcuVInt0ocHrUimDjGlb,spotify:track:6ufcuVInt0ocHrUimDjGlb,https://api.spotify.com/v1/tracks/6ufcuVInt0ocHrUimDjGlb,https://api.spotify.com/v1/audio-analysis/6ufcuVInt0ocHrUimDjGlb,254319,4,73,r&b,r&b
0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,46,r&b,r&b
0.345,0.418,7,-9.453,1,0.0408,0.736,0.0,0.259,0.162,75.592,audio_features,3X7aFBB2ja4QT2XEuxKCIA,spotify:track:3X7aFBB2ja4QT2XEuxKCIA,https://api.spotify.com/v1/tracks/3X7aFBB2ja4QT2XEuxKCIA,https://api.spotify.com/v1/audio-analysis/3X7aFBB2ja4QT2XEuxKCIA,197428,4,63,r&b,r&b
0.836,0.411,6,-9.084,0,0.0325,0.42,0.382,0.0913,0.845,90.876,audio_features,1LPQheJpIsG8rlUkCmZx2D,spotify:track:1LPQheJpIsG8rlUkCmZx2D,https://api.spotify.com/v1/tracks/1LPQheJpIsG8rlUkCmZx2D,https://api.spotify.com/v1/audio-analysis/1LPQheJpIsG8rlUkCmZx2D,297717,4,63,r&b,r&b
0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-05,0.114,0.484,114.009,audio_features,2lVYLiHGIX6GajMqYXF1Un,spotify:track:2lVYLiHGIX6GajMqYXF1Un,https://api.spotify.com/v1/tracks/2lVYLiHGIX6GajMqYXF1Un,https://api.spotify.com/v1/audio-analysis/2lVYLiHGIX6GajMqYXF1Un,223160,4,66,r&b,r&b
0.399,0.892,2,-4.234,1,0.221,0.125,0.0,0.324,0.642,140.33,audio_features,35fBkyvLRrHKO4edE69LtA,spotify:track:35fBkyvLRrHKO4edE69LtA,https://api.spotify.com/v1/tracks/35fBkyvLRrHKO4edE69LtA,https://api.spotify.com/v1/audio-analysis/35fBkyvLRrHKO4edE69LtA,186494,4,59,r&b,r&b
0.699,0.679,9,-4.528,1,0.0556,0.55,0.0,0.0816,0.56,102.919,audio_features,3K9IrLs25jHtvWjAAFAfav,spotify:track:3K9IrLs25jHtvWjAAFAfav,https://api.spotify.com/v1/tracks/3K9IrLs25jHtvWjAAFAfav,https://api.spotify.com/v1/audio-analysis/3K9IrLs25jHtvWjAAFAfav,160777,4,70,r&b,r&b
0.73,0.634,4,-7.194,0,0.184,0.111,9.63e-06,0.0986,0.777,171.824,audio_features,0SSVi1ND8YAk5XpaHOePoo,spotify:track:0SSVi1ND8YAk5XpaHOePoo,https://api.spotify.com/v1/tracks/0SSVi1ND8YAk5XpaHOePoo,https://api.spotify.com/v1/audio-analysis/0SSVi1ND8YAk5XpaHOePoo,146840,4,59,r&b,r&b
0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,audio_features,2WigMwGJysIh9fRnSJvpjn,spotify:track:2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/tracks/2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/audio-analysis/2WigMwGJysIh9fRnSJvpjn,147581,4,85,r&b,r&b
0.769,0.446,6,-6.572,1,0.0717,0.138,0.0,0.104,0.62,89.975,audio_features,5HMl6aG4uTWFo8TZvJ7pfn,spotify:track:5HMl6aG4uTWFo8TZvJ7pfn,https://api.spotify.com/v1/tracks/5HMl6aG4uTWFo8TZvJ7pfn,https://api.spotify.com/v1/audio-analysis/5HMl6aG4uTWFo8TZvJ7pfn,173707,4,58,r&b,r&b
0.739,0.371,4,-8.152,0,0.0511,0.358,4.27e-05,0.139,0.207,122.033,audio_features,3REQkt60mafExNVnJehMdL,spotify:track:3REQkt60mafExNVnJehMdL,https://api.spotify.com/v1/tracks/3REQkt60mafExNVnJehMdL,https://api.spotify.com/v1/audio-analysis/3REQkt60mafExNVnJehMdL,172131,4,66,r&b,r&b
0.461,0.279,9,-11.776,0,0.0373,0.911,0.0,0.205,0.599,114.225,audio_features,2CSRrnOEELmhpq8iaAi9cd,spotify:track:2CSRrnOEELmhpq8iaAi9cd,https://api.spotify.com/v1/tracks/2CSRrnOEELmhpq8iaAi9cd,https://api.spotify.com/v1/audio-analysis/2CSRrnOEELmhpq8iaAi9cd,150720,4,48,r&b,r&b
0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4,95,r&b,r&b
0.593,0.294,1,-10.072,0,0.0499,0.345,2.03e-05,0.287,0.152,113.847,audio_features,2Fyjjpg03fn7n5cj0Qm380,spotify:track:2Fyjjpg03fn7n5cj0Qm380,https://api.spotify.com/v1/tracks/2Fyjjpg03fn7n5cj0Qm380,https://api.spotify.com/v1/audio-analysis/2Fyjjpg03fn7n5cj0Qm380,188907,4,76,r&b,r&b
0.733,0.625,6,-5.319,1,0.176,0.166,0.0,0.118,0.255,132.248,audio_features,4QzljsoizfscCExqa1CDWN,spotify:track:4QzljsoizfscCExqa1CDWN,https://api.spotify.com/v1/tracks/4QzljsoizfscCExqa1CDWN,https://api.spotify.com/v1/audio-analysis/4QzljsoizfscCExqa1CDWN,189546,4,61,r&b,r&b
0.502,0.407,5,-8.409,0,0.177,0.811,1.44e-06,0.191,0.387,142.978,audio_features,0U8tC6UzgYePgOJT6Chlw9,spotify:track:0U8tC6UzgYePgOJT6Chlw9,https://api.spotify.com/v1/tracks/0U8tC6UzgYePgOJT6Chlw9,https://api.spotify.com/v1/audio-analysis/0U8tC6UzgYePgOJT6Chlw9,301082,4,61,r&b,r&b
0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,audio_features,3FImu2LpSuH6gDHBuFgIbS,spotify:track:3FImu2LpSuH6gDHBuFgIbS,https://api.spotify.com/v1/tracks/3FImu2LpSuH6gDHBuFgIbS,https://api.spotify.com/v1/audio-analysis/3FImu2LpSuH6gDHBuFgIbS,189463,4,67,r&b,r&b
0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,audio_features,35ovElsgyAtQwYPYnZJECg,spotify:track:35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg,196520,4,90,r&b,r&b
0.538,0.659,3,-8.122,0,0.234,0.756,0.00044,0.109,0.542,88.791,audio_features,4bYTTDFnNbakdU9NX8uMKj,spotify:track:4bYTTDFnNbakdU9NX8uMKj,https://api.spotify.com/v1/tracks/4bYTTDFnNbakdU9NX8uMKj,https://api.spotify.com/v1/audio-analysis/4bYTTDFnNbakdU9NX8uMKj,172079,4,58,r&b,r&b
0.384,0.632,7,-6.736,0,0.403,0.447,0.00047,0.094,0.373,80.046,audio_features,51t119U9qFdDHorI8GpNPb,spotify:track:51t119U9qFdDHorI8GpNPb,https://api.spotify.com/v1/tracks/51t119U9qFdDHorI8GpNPb,https://api.spotify.com/v1/audio-analysis/51t119U9qFdDHorI8GpNPb,193173,4,62,r&b,r&b
0.723,0.461,4,-9.747,0,0.0776,0.623,4.89e-06,0.237,0.183,117.983,audio_features,2dsbZwFPMYhchakMgL72DD,spotify:track:2dsbZwFPMYhchakMgL72DD,https://api.spotify.com/v1/tracks/2dsbZwFPMYhchakMgL72DD,https://api.spotify.com/v1/audio-analysis/2dsbZwFPMYhchakMgL72DD,181144,4,59,r&b,r&b
0.521,0.565,11,-9.596,0,0.0681,0.136,1.65e-06,0.134,0.261,114.562,audio_features,2rZQC2Hwy4sClylYHg2MXI,spotify:track:2rZQC2Hwy4sClylYHg2MXI,https://api.spotify.com/v1/tracks/2rZQC2Hwy4sClylYHg2MXI,https://api.spotify.com/v1/audio-analysis/2rZQC2Hwy4sClylYHg2MXI,202756,4,58,r&b,r&b
0.689,0.668,0,-7.301,0,0.0409,0.692,0.0199,0.108,0.68,87.984,audio_features,1KgqMmNUqRdXqZhR4PXtg8,spotify:track:1KgqMmNUqRdXqZhR4PXtg8,https://api.spotify.com/v1/tracks/1KgqMmNUqRdXqZhR4PXtg8,https://api.spotify.com/v1/audio-analysis/1KgqMmNUqRdXqZhR4PXtg8,199825,4,61,r&b,r&b
