danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.711,0.852,9,-6.582,0,0.234,0.257,0.0,0.101,0.617,85.018,audio_features,44IXCCyTS0hUBfuCYavXpA,spotify:track:44IXCCyTS0hUBfuCYavXpA,https://api.spotify.com/v1/tracks/44IXCCyTS0hUBfuCYavXpA,https://api.spotify.com/v1/audio-analysis/44IXCCyTS0hUBfuCYavXpA,102004,4,43,rock,rock
0.584,0.841,2,-4.892,0,0.0298,0.00124,0.0,0.153,0.469,130.072,audio_features,3ZEo2luMItmx7n86QwG43q,spotify:track:3ZEo2luMItmx7n86QwG43q,https://api.spotify.com/v1/tracks/3ZEo2luMItmx7n86QwG43q,https://api.spotify.com/v1/audio-analysis/3ZEo2luMItmx7n86QwG43q,227416,4,36,rock,rock
0.627,0.69,0,-8.894,0,0.168,0.0293,0.0245,0.347,0.341,122.033,audio_features,6Zc08pvbXQZK9z8GDTJxx6,spotify:track:6Zc08pvbXQZK9z8GDTJxx6,https://api.spotify.com/v1/tracks/6Zc08pvbXQZK9z8GDTJxx6,https://api.spotify.com/v1/audio-analysis/6Zc08pvbXQZK9z8GDTJxx6,157398,4,51,rock,rock
0.501,0.947,2,-4.427,1,0.0654,0.000295,4.61e-05,0.167,0.465,120.97,audio_features,5aCbFZVgwCTOZRox7M3jmf,spotify:track:5aCbFZVgwCTOZRox7M3jmf,https://api.spotify.com/v1/tracks/5aCbFZVgwCTOZRox7M3jmf,https://api.spotify.com/v1/audio-analysis/5aCbFZVgwCTOZRox7M3jmf,147179,4,38,rock,rock
0.339,0.68,11,-6.577,1,0.0389,0.000162,0.206,0.106,0.342,134.925,audio_features,2OjxFQx7NIDdWPoiTRePQ3,spotify:track:2OjxFQx7NIDdWPoiTRePQ3,https://api.spotify.com/v1/tracks/2OjxFQx7NIDdWPoiTRePQ3,https://api.spotify.com/v1/audio-analysis/2OjxFQx7NIDdWPoiTRePQ3,258720,3,37,rock,rock
0.38,0.807,9,-5.455,1,0.0644,0.000424,3.54e-06,0.333,0.764,204.034,audio_features,58ONRU8dptRUVIcznAWsne,spotify:track:58ONRU8dptRUVIcznAWsne,https://api.spotify.com/v1/tracks/58ONRU8dptRUVIcznAWsne,https://api.spotify.com/v1/audio-analysis/58ONRU8dptRUVIcznAWsne,183146,4,39,rock,rock
0.628,0.88,5,-4.819,0,0.169,0.0107,0.000311,0.734,0.459,108.965,audio_features,4kCpjWfwmx8UjGfF9rLJI7,spotify:track:4kCpjWfwmx8UjGfF9rLJI7,https://api.spotify.com/v1/tracks/4kCpjWfwmx8UjGfF9rLJI7,https://api.spotify.com/v1/audio-analysis/4kCpjWfwmx8UjGfF9rLJI7,328000,4,34,rock,rock
0.525,0.594,2,-5.427,1,0.0276,0.00083,0.000993,0.657,0.0571,122.023,audio_features,79uzeiagdRfNwYi4L2eDdy,spotify:track:79uzeiagdRfNwYi4L2eDdy,https://api.spotify.com/v1/tracks/79uzeiagdRfNwYi4L2eDdy,https://api.spotify.com/v1/audio-analysis/79uzeiagdRfNwYi4L2eDdy,214426,4,29,rock,rock
0.464,0.356,4,-12.698,1,0.0735,0.342,0.0,0.11,0.246,76.336,audio_features,4uvuzi6y2QSJOqSA6EMaO3,spotify:track:4uvuzi6y2QSJOqSA6EMaO3,https://api.spotify.com/v1/tracks/4uvuzi6y2QSJOqSA6EMaO3,https://api.spotify.com/v1/audio-analysis/4uvuzi6y2QSJOqSA6EMaO3,187105,4,52,rock,rock
0.691,0.522,11,-7.677,0,0.0879,0.335,0.0,0.122,0.188,119.833,audio_features,4Z7YhHGk0gmipGgTc9PASI,spotify:track:4Z7YhHGk0gmipGgTc9PASI,https://api.spotify.com/v1/tracks/4Z7YhHGk0gmipGgTc9PASI,https://api.spotify.com/v1/audio-analysis/4Z7YhHGk0gmipGgTc9PASI,164000,4,49,rock,rock
0.539,0.466,8,-8.657,1,0.126,0.804,0.0,0.188,0.14,112.059,audio_features,1pSSYCgS49Ffb5azjFfXLw,spotify:track:1pSSYCgS49Ffb5azjFfXLw,https://api.spotify.com/v1/tracks/1pSSYCgS49Ffb5azjFfXLw,https://api.spotify.com/v1/audio-analysis/1pSSYCgS49Ffb5azjFfXLw,143000,1,50,rock,rock
0.383,0.838,6,-9.173,1,0.101,0.0115,0.879,0.314,0.643,100.211,audio_features,35q0JMVHgwh2OMGgMc9bjT,spotify:track:35q0JMVHgwh2OMGgMc9bjT,https://api.spotify.com/v1/tracks/35q0JMVHgwh2OMGgMc9bjT,https://api.spotify.com/v1/audio-analysis/35q0JMVHgwh2OMGgMc9bjT,187000,4,29,rock,rock
0.46,0.901,8,-6.549,1,0.0499,3.06e-05,1.03e-06,0.102,0.625,105.03,audio_features,5AYt216uolphvO9kRnfOKg,spotify:track:5AYt216uolphvO9kRnfOKg,https://api.spotify.com/v1/tracks/5AYt216uolphvO9kRnfOKg,https://api.spotify.com/v1/audio-analysis/5AYt216uolphvO9kRnfOKg,217032,4,34,rock,rock
0.818,0.509,0,-10.625,0,0.338,0.47,0.0,0.0836,0.332,92.974,audio_features,21nuLjunC9xyyISad8oFUQ,spotify:track:21nuLjunC9xyyISad8oFUQ,https://api.spotify.com/v1/tracks/21nuLjunC9xyyISad8oFUQ,https://api.spotify.com/v1/audio-analysis/21nuLjunC9xyyISad8oFUQ,123925,4,49,rock,rock
0.669,0.755,5,-6.557,0,0.0628,0.512,0.0,0.0854,0.694,144.934,audio_features,4hhgiIbkwqSCciG4ixZ5hz,spotify:track:4hhgiIbkwqSCciG4ixZ5hz,https://api.spotify.com/v1/tracks/4hhgiIbkwqSCciG4ixZ5hz,https://api.spotify.com/v1/audio-analysis/4hhgiIbkwqSCciG4ixZ5hz,173523,3,49,rock,rock
