danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre,0
0.678,0.612,4.0,-9.764,1.0,0.0339,0.101,0.318,0.164,0.857,118.381,audio_features,0RTjFVHvqjTdpX2NawwyXI,spotify:track:0RTjFVHvqjTdpX2NawwyXI,https://api.spotify.com/v1/tracks/0RTjFVHvqjTdpX2NawwyXI,https://api.spotify.com/v1/audio-analysis/0RTjFVHvqjTdpX2NawwyXI,216627.0,4.0,50,blues,blues,
0.57,0.241,4.0,-12.138,1.0,0.0473,0.948,0.0224,0.111,0.543,115.352,audio_features,13U0E6CXh2dnEi6eDzNyK0,spotify:track:13U0E6CXh2dnEi6eDzNyK0,https://api.spotify.com/v1/tracks/13U0E6CXh2dnEi6eDzNyK0,https://api.spotify.com/v1/audio-analysis/13U0E6CXh2dnEi6eDzNyK0,181893.0,3.0,50,blues,blues,
0.692,0.493,9.0,-9.662,0.0,0.0325,0.0934,0.00166,0.128,0.28,86.644,audio_features,3cg0dJfrQB66Qf2YthPb6G,spotify:track:3cg0dJfrQB66Qf2YthPb6G,https://api.spotify.com/v1/tracks/3cg0dJfrQB66Qf2YthPb6G,https://api.spotify.com/v1/audio-analysis/3cg0dJfrQB66Qf2YthPb6G,301133.0,4.0,63,blues,blues,
0.513,0.171,8.0,-17.904,1.0,0.0422,0.775,0.458,0.139,0.321,118.461,audio_features,0h4jHdNzUrV9eGR2PT5R8c,spotify:track:0h4jHdNzUrV9eGR2PT5R8c,https://api.spotify.com/v1/tracks/0h4jHdNzUrV9eGR2PT5R8c,https://api.spotify.com/v1/audio-analysis/0h4jHdNzUrV9eGR2PT5R8c,297373.0,4.0,55,blues,blues,
0.779,0.155,5.0,-21.57,1.0,0.112,0.856,7.82e-06,0.0974,0.696,103.251,audio_features,31GIhpOQpKCzlnuPn03pBQ,spotify:track:31GIhpOQpKCzlnuPn03pBQ,https://api.spotify.com/v1/tracks/31GIhpOQpKCzlnuPn03pBQ,https://api.spotify.com/v1/audio-analysis/31GIhpOQpKCzlnuPn03pBQ,192707.0,4.0,53,blues,blues,
0.747,0.288,9.0,-14.435,1.0,0.0513,0.663,0.0,0.122,0.566,111.33,audio_features,2TKykeHeVKsBqZC8M3SKcN,spotify:track:2TKykeHeVKsBqZC8M3SKcN,https://api.spotify.com/v1/tracks/2TKykeHeVKsBqZC8M3SKcN,https://api.spotify.com/v1/audio-analysis/2TKykeHeVKsBqZC8M3SKcN,143332.0,4.0,53,blues,blues,
0.606,0.568,11.0,-5.294,1.0,0.0421,0.629,0.00418,0.116,0.427,77.067,audio_features,3gGKOVwsAVvwt9BcH3k18J,spotify:track:3gGKOVwsAVvwt9BcH3k18J,https://api.spotify.com/v1/tracks/3gGKOVwsAVvwt9BcH3k18J,https://api.spotify.com/v1/audio-analysis/3gGKOVwsAVvwt9BcH3k18J,516533.0,3.0,52,blues,blues,
0.498,0.484,7.0,-10.5,1.0,0.0922,0.323,0.0108,0.761,0.604,110.541,audio_features,6ZfSXhqojBGB8BdRFb96Im,spotify:track:6ZfSXhqojBGB8BdRFb96Im,https://api.spotify.com/v1/tracks/6ZfSXhqojBGB8BdRFb96Im,https://api.spotify.com/v1/audio-analysis/6ZfSXhqojBGB8BdRFb96Im,312027.0,4.0,47,blues,blues,
0.633,0.625,0.0,-10.951,1.0,0.0436,0.492,0.000418,0.204,0.841,103.355,audio_features,4Gia17DzXBhYFbYiJj6SyW,spotify:track:4Gia17DzXBhYFbYiJj6SyW,https://api.spotify.com/v1/tracks/4Gia17DzXBhYFbYiJj6SyW,https://api.spotify.com/v1/audio-analysis/4Gia17DzXBhYFbYiJj6SyW,147800.0,4.0,52,blues,blues,
0.447,0.464,2.0,-11.622,1.0,0.12,0.807,0.000118,0.249,0.62,175.465,audio_features,5goa9CsIDXc9G0Df9dL9ft,spotify:track:5goa9CsIDXc9G0Df9dL9ft,https://api.spotify.com/v1/tracks/5goa9CsIDXc9G0Df9dL9ft,https://api.spotify.com/v1/audio-analysis/5goa9CsIDXc9G0Df9dL9ft,431853.0,3.0,49,blues,blues,
0.256,0.423,6.0,-11.994,1.0,0.035,0.000788,0.402,0.25,0.441,173.27,audio_features,5MtN38MGEWJt60LwtBmFNP,spotify:track:5MtN38MGEWJt60LwtBmFNP,https://api.spotify.com/v1/tracks/5MtN38MGEWJt60LwtBmFNP,https://api.spotify.com/v1/audio-analysis/5MtN38MGEWJt60LwtBmFNP,320907.0,3.0,57,blues,blues,
0.542,0.287,9.0,-12.024,1.0,0.0376,0.671,0.000449,0.0868,0.15,129.976,audio_features,1vkEVT81wJQtMZ23FJ1q1i,spotify:track:1vkEVT81wJQtMZ23FJ1q1i,https://api.spotify.com/v1/tracks/1vkEVT81wJQtMZ23FJ1q1i,https://api.spotify.com/v1/audio-analysis/1vkEVT81wJQtMZ23FJ1q1i,239893.0,3.0,46,blues,blues,
0.462,0.796,9.0,-6.202,1.0,0.0322,0.384,0.0,0.296,0.824,204.028,audio_features,618hiI74zBL8UVgAvfmkLj,spotify:track:618hiI74zBL8UVgAvfmkLj,https://api.spotify.com/v1/tracks/618hiI74zBL8UVgAvfmkLj,https://api.spotify.com/v1/audio-analysis/618hiI74zBL8UVgAvfmkLj,264240.0,4.0,56,blues,blues,
0.64,0.307,2.0,-13.304,1.0,0.109,0.616,0.00206,0.1,0.541,94.975,audio_features,2aZ8nrq3RIXEXUviAwzyLV,spotify:track:2aZ8nrq3RIXEXUviAwzyLV,https://api.spotify.com/v1/tracks/2aZ8nrq3RIXEXUviAwzyLV,https://api.spotify.com/v1/audio-analysis/2aZ8nrq3RIXEXUviAwzyLV,171600.0,4.0,46,blues,blues,
0.745,0.511,5.0,-14.908,1.0,0.0528,0.7,1.24e-05,0.139,0.876,137.214,audio_features,0zVx5Ao0pMlrZti8WVsbOx,spotify:track:0zVx5Ao0pMlrZti8WVsbOx,https://api.spotify.com/v1/tracks/0zVx5Ao0pMlrZti8WVsbOx,https://api.spotify.com/v1/audio-analysis/0zVx5Ao0pMlrZti8WVsbOx,133619.0,4.0,48,blues,blues,
0.621,0.693,8.0,-8.755,1.0,0.0407,0.579,0.000295,0.0634,0.896,112.439,audio_features,6DCALWbYX0BCOAGy0hMmRs,spotify:track:6DCALWbYX0BCOAGy0hMmRs,https://api.spotify.com/v1/tracks/6DCALWbYX0BCOAGy0hMmRs,https://api.spotify.com/v1/audio-analysis/6DCALWbYX0BCOAGy0hMmRs,251307.0,4.0,56,blues,blues,
0.705,0.483,1.0,-12.209,1.0,0.0542,0.15,0.0265,0.202,0.713,122.863,audio_features,2Cg3GUkhjX96nO4p2WRlIa,spotify:track:2Cg3GUkhjX96nO4p2WRlIa,https://api.spotify.com/v1/tracks/2Cg3GUkhjX96nO4p2WRlIa,https://api.spotify.com/v1/audio-analysis/2Cg3GUkhjX96nO4p2WRlIa,181786.0,4.0,50,blues,blues,
0.523,0.717,5.0,-3.84,1.0,0.0353,0.0874,0.000999,0.0866,0.313,114.007,audio_features,5N9b9rKNdw121DXV3IR159,spotify:track:5N9b9rKNdw121DXV3IR159,https://api.spotify.com/v1/tracks/5N9b9rKNdw121DXV3IR159,https://api.spotify.com/v1/audio-analysis/5N9b9rKNdw121DXV3IR159,194440.0,3.0,41,blues,blues,
0.475,0.383,1.0,-14.202,1.0,0.0375,0.362,0.749,0.0728,0.524,114.709,audio_features,5XNpdKmlLJPUbwKQceX2tW,spotify:track:5XNpdKmlLJPUbwKQceX2tW,https://api.spotify.com/v1/tracks/5XNpdKmlLJPUbwKQceX2tW,https://api.spotify.com/v1/audio-analysis/5XNpdKmlLJPUbwKQceX2tW,408480.0,4.0,61,blues,blues,
0.554,0.49,9.0,-8.725,1.0,0.0267,0.736,0.00728,0.327,0.578,67.591,audio_features,0tYJ6uY0ETQOtOM8KySMSp,spotify:track:0tYJ6uY0ETQOtOM8KySMSp,https://api.spotify.com/v1/tracks/0tYJ6uY0ETQOtOM8KySMSp,https://api.spotify.com/v1/audio-analysis/0tYJ6uY0ETQOtOM8KySMSp,232453.0,4.0,47,blues,blues,
0.393,0.358,5.0,-9.598,0.0,0.0471,0.33,0.0313,0.12,0.598,180.075,audio_features,4OGyibX2nayDVCUfFN4u8x,spotify:track:4OGyibX2nayDVCUfFN4u8x,https://api.spotify.com/v1/tracks/4OGyibX2nayDVCUfFN4u8x,https://api.spotify.com/v1/audio-analysis/4OGyibX2nayDVCUfFN4u8x,383760.0,3.0,42,blues,blues,
0.746,0.56,5.0,-14.789,1.0,0.0565,0.494,0.0,0.316,0.854,124.68,audio_features,2dp14VWbIxOVNmaWKkVB1r,spotify:track:2dp14VWbIxOVNmaWKkVB1r,https://api.spotify.com/v1/tracks/2dp14VWbIxOVNmaWKkVB1r,https://api.spotify.com/v1/audio-analysis/2dp14VWbIxOVNmaWKkVB1r,184960.0,4.0,58,blues,blues,
0.445,0.537,2.0,-14.764,1.0,0.0467,0.824,0.000605,0.0952,0.782,101.509,audio_features,75plL57ZziEQ5tM9VKJkw2,spotify:track:75plL57ZziEQ5tM9VKJkw2,https://api.spotify.com/v1/tracks/75plL57ZziEQ5tM9VKJkw2,https://api.spotify.com/v1/audio-analysis/75plL57ZziEQ5tM9VKJkw2,138507.0,1.0,38,blues,blues,
0.277,0.479,5.0,-8.483,0.0,0.0495,0.585,0.0224,0.16,0.483,53.905,audio_features,3XxBSvDZKH5YvZZjTpn6eR,spotify:track:3XxBSvDZKH5YvZZjTpn6eR,https://api.spotify.com/v1/tracks/3XxBSvDZKH5YvZZjTpn6eR,https://api.spotify.com/v1/audio-analysis/3XxBSvDZKH5YvZZjTpn6eR,230360.0,4.0,59,blues,blues,
0.362,0.507,11.0,-13.978,0.0,0.0463,0.884,0.00607,0.116,0.755,93.468,audio_features,0nWFmSvTZmgxGKFxodXgIq,spotify:track:0nWFmSvTZmgxGKFxodXgIq,https://api.spotify.com/v1/tracks/0nWFmSvTZmgxGKFxodXgIq,https://api.spotify.com/v1/audio-analysis/0nWFmSvTZmgxGKFxodXgIq,176573.0,4.0,41,blues,blues,
0.51,0.223,4.0,-11.205,1.0,0.0432,0.851,0.00539,0.114,0.413,168.652,audio_features,5dAoQMVA2jwl1hCTJGeWAm,spotify:track:5dAoQMVA2jwl1hCTJGeWAm,https://api.spotify.com/v1/tracks/5dAoQMVA2jwl1hCTJGeWAm,https://api.spotify.com/v1/audio-analysis/5dAoQMVA2jwl1hCTJGeWAm,271000.0,3.0,42,blues,blues,
0.648,0.544,1.0,-8.963,1.0,0.179,0.343,2.93e-06,0.087,0.619,153.063,audio_features,1cXc92MX9kFjMrrDsvdf9w,spotify:track:1cXc92MX9kFjMrrDsvdf9w,https://api.spotify.com/v1/tracks/1cXc92MX9kFjMrrDsvdf9w,https://api.spotify.com/v1/audio-analysis/1cXc92MX9kFjMrrDsvdf9w,182827.0,4.0,52,blues,blues,
0.741,0.437,2.0,-9.17,1.0,0.0428,0.849,1.79e-05,0.229,0.689,91.969,audio_features,4TE1mJzeu3os3j4YcCfkMI,spotify:track:4TE1mJzeu3os3j4YcCfkMI,https://api.spotify.com/v1/tracks/4TE1mJzeu3os3j4YcCfkMI,https://api.spotify.com/v1/audio-analysis/4TE1mJzeu3os3j4YcCfkMI,169253.0,4.0,42,blues,blues,
0.625,0.219,6.0,-11.522,1.0,0.0533,0.756,1.29e-05,0.119,0.612,146.996,audio_features,1P3EPqytwKmzzgrbw72xRP,spotify:track:1P3EPqytwKmzzgrbw72xRP,https://api.spotify.com/v1/tracks/1P3EPqytwKmzzgrbw72xRP,https://api.spotify.com/v1/audio-analysis/1P3EPqytwKmzzgrbw72xRP,221120.0,3.0,42,blues,blues,
0.676,0.252,3.0,-14.01,1.0,0.039,0.98,7.38e-05,0.11,0.483,83.901,audio_features,0EzykG4pYlmmGTihakWGRL,spotify:track:0EzykG4pYlmmGTihakWGRL,https://api.spotify.com/v1/tracks/0EzykG4pYlmmGTihakWGRL,https://api.spotify.com/v1/audio-analysis/0EzykG4pYlmmGTihakWGRL,188533.0,4.0,41,blues,blues,
0.675,0.311,9.0,-11.959,1.0,0.0525,0.93,0.000261,0.102,0.638,97.159,audio_features,1TrGdXSgiBm8W68D2K1COG,spotify:track:1TrGdXSgiBm8W68D2K1COG,https://api.spotify.com/v1/tracks/1TrGdXSgiBm8W68D2K1COG,https://api.spotify.com/v1/audio-analysis/1TrGdXSgiBm8W68D2K1COG,149560.0,4.0,51,blues,blues,
0.601,0.19,5.0,-18.675,1.0,0.061,0.507,5.49e-05,0.18,0.656,202.294,audio_features,6iQ0OIxisPxhzEICEXtaWS,spotify:track:6iQ0OIxisPxhzEICEXtaWS,https://api.spotify.com/v1/tracks/6iQ0OIxisPxhzEICEXtaWS,https://api.spotify.com/v1/audio-analysis/6iQ0OIxisPxhzEICEXtaWS,167360.0,3.0,54,blues,blues,
0.422,0.462,4.0,-7.406,1.0,0.0509,0.677,0.00139,0.175,0.54,93.81,audio_features,5jQPaMjSWpFOMx8BVUOtpM,spotify:track:5jQPaMjSWpFOMx8BVUOtpM,https://api.spotify.com/v1/tracks/5jQPaMjSWpFOMx8BVUOtpM,https://api.spotify.com/v1/audio-analysis/5jQPaMjSWpFOMx8BVUOtpM,171600.0,4.0,54,blues,blues,
0.599,0.546,10.0,-8.866,1.0,0.0328,0.766,1.91e-06,0.104,0.493,85.321,audio_features,63vUX4fixN873tbuAfUbaH,spotify:track:63vUX4fixN873tbuAfUbaH,https://api.spotify.com/v1/tracks/63vUX4fixN873tbuAfUbaH,https://api.spotify.com/v1/audio-analysis/63vUX4fixN873tbuAfUbaH,160360.0,4.0,53,blues,blues,
0.427,0.626,8.0,-11.821,1.0,0.0385,0.0274,0.00395,0.106,0.743,126.877,audio_features,1a2iF9XymafjRk56q7oCxo,spotify:track:1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/tracks/1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/audio-analysis/1a2iF9XymafjRk56q7oCxo,219587.0,4.0,66,blues,blues,
0.598,0.735,2.0,-10.882,1.0,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133.0,3.0,62,blues,blues,
0.547,0.46,11.0,-8.759,0.0,0.0256,0.344,0.442,0.0983,0.543,90.768,audio_features,4NQfrmGs9iQXVQI9IpRhjM,spotify:track:4NQfrmGs9iQXVQI9IpRhjM,https://api.spotify.com/v1/tracks/4NQfrmGs9iQXVQI9IpRhjM,https://api.spotify.com/v1/audio-analysis/4NQfrmGs9iQXVQI9IpRhjM,324733.0,4.0,62,blues,blues,
0.441,0.455,10.0,-14.207,1.0,0.0485,0.62,0.00187,0.135,0.918,160.9,audio_features,2Mr1bGI2E10K7Mt1UJZ6Mw,spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/tracks/2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw,152351.0,4.0,61,blues,blues,
0.565,0.526,0.0,-11.352,1.0,0.0365,0.0339,0.000119,0.11,0.637,167.936,audio_features,2wnjZXcAT3rCjjqxLeHjv7,spotify:track:2wnjZXcAT3rCjjqxLeHjv7,https://api.spotify.com/v1/tracks/2wnjZXcAT3rCjjqxLeHjv7,https://api.spotify.com/v1/audio-analysis/2wnjZXcAT3rCjjqxLeHjv7,204333.0,4.0,61,blues,blues,
0.661,0.342,9.0,-16.361,0.0,0.043,0.844,0.000128,0.26,0.588,146.118,audio_features,2HUZVffVPXvqnrml0gXggp,spotify:track:2HUZVffVPXvqnrml0gXggp,https://api.spotify.com/v1/tracks/2HUZVffVPXvqnrml0gXggp,https://api.spotify.com/v1/audio-analysis/2HUZVffVPXvqnrml0gXggp,188400.0,4.0,61,blues,blues,
0.518,0.376,9.0,-18.248,0.0,0.0431,0.933,0.86,0.0976,0.744,158.089,audio_features,4qYHnP5AmKzXbJhciPV8si,spotify:track:4qYHnP5AmKzXbJhciPV8si,https://api.spotify.com/v1/tracks/4qYHnP5AmKzXbJhciPV8si,https://api.spotify.com/v1/audio-analysis/4qYHnP5AmKzXbJhciPV8si,233560.0,4.0,59,blues,blues,
0.676,0.334,5.0,-10.572,1.0,0.0508,0.862,0.0,0.32,0.867,158.0,audio_features,4KMXlzvtC8xjLseDqDjpeU,spotify:track:4KMXlzvtC8xjLseDqDjpeU,https://api.spotify.com/v1/tracks/4KMXlzvtC8xjLseDqDjpeU,https://api.spotify.com/v1/audio-analysis/4KMXlzvtC8xjLseDqDjpeU,162040.0,4.0,59,blues,blues,
0.277,0.479,5.0,-8.483,0.0,0.0495,0.585,0.0224,0.16,0.483,53.905,audio_features,3XxBSvDZKH5YvZZjTpn6eR,spotify:track:3XxBSvDZKH5YvZZjTpn6eR,https://api.spotify.com/v1/tracks/3XxBSvDZKH5YvZZjTpn6eR,https://api.spotify.com/v1/audio-analysis/3XxBSvDZKH5YvZZjTpn6eR,230360.0,4.0,59,blues,blues,
0.711,0.483,11.0,-11.211,1.0,0.0298,0.434,0.012,0.0284,0.884,91.652,audio_features,3ocm1Cf1Dk1ODrdBdybh82,spotify:track:3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/tracks/3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/audio-analysis/3ocm1Cf1Dk1ODrdBdybh82,169998.0,4.0,58,blues,blues,
0.542,0.502,3.0,-10.607,0.0,0.0515,0.195,0.00812,0.174,0.948,174.11,audio_features,3E0VKSvZp76kvBU2WwwBul,spotify:track:3E0VKSvZp76kvBU2WwwBul,https://api.spotify.com/v1/tracks/3E0VKSvZp76kvBU2WwwBul,https://api.spotify.com/v1/audio-analysis/3E0VKSvZp76kvBU2WwwBul,289560.0,4.0,57,blues,blues,
0.321,0.625,2.0,-5.219,0.0,0.0302,0.491,5.08e-05,0.345,0.777,107.338,audio_features,1yKah8BCP3Vgq2tPBOLKL0,spotify:track:1yKah8BCP3Vgq2tPBOLKL0,https://api.spotify.com/v1/tracks/1yKah8BCP3Vgq2tPBOLKL0,https://api.spotify.com/v1/audio-analysis/1yKah8BCP3Vgq2tPBOLKL0,212600.0,4.0,57,blues,blues,
0.56,0.241,4.0,-15.385,0.0,0.0314,0.593,0.195,0.122,0.341,79.537,audio_features,5x7Oxaa9EEIx9nw17CC5yW,spotify:track:5x7Oxaa9EEIx9nw17CC5yW,https://api.spotify.com/v1/tracks/5x7Oxaa9EEIx9nw17CC5yW,https://api.spotify.com/v1/audio-analysis/5x7Oxaa9EEIx9nw17CC5yW,293733.0,4.0,57,blues,blues,
0.572,0.348,0.0,-13.454,1.0,0.0294,0.44,0.000721,0.235,0.34,73.304,audio_features,5MTsZG10E0hTvAkdioyPnw,spotify:track:5MTsZG10E0hTvAkdioyPnw,https://api.spotify.com/v1/tracks/5MTsZG10E0hTvAkdioyPnw,https://api.spotify.com/v1/audio-analysis/5MTsZG10E0hTvAkdioyPnw,275267.0,4.0,57,blues,blues,
0.563,0.542,9.0,-10.862,1.0,0.0962,0.706,3.59e-05,0.355,0.785,133.285,audio_features,5Oc0vLGWdEWeCqIU8zyELt,spotify:track:5Oc0vLGWdEWeCqIU8zyELt,https://api.spotify.com/v1/tracks/5Oc0vLGWdEWeCqIU8zyELt,https://api.spotify.com/v1/audio-analysis/5Oc0vLGWdEWeCqIU8zyELt,181000.0,4.0,56,blues,blues,
0.595,0.525,11.0,-11.582,0.0,0.0499,0.3,3.15e-05,0.197,0.826,124.569,audio_features,0h06YSqzwbAU9ZDuIvw8pk,spotify:track:0h06YSqzwbAU9ZDuIvw8pk,https://api.spotify.com/v1/tracks/0h06YSqzwbAU9ZDuIvw8pk,https://api.spotify.com/v1/audio-analysis/0h06YSqzwbAU9ZDuIvw8pk,192200.0,4.0,55,blues,blues,
0.303,0.648,0.0,-6.795,1.0,0.0512,0.642,0.053,0.407,0.644,170.379,audio_features,2ROJOb98GorxStuOuZWcGd,spotify:track:2ROJOb98GorxStuOuZWcGd,https://api.spotify.com/v1/tracks/2ROJOb98GorxStuOuZWcGd,https://api.spotify.com/v1/audio-analysis/2ROJOb98GorxStuOuZWcGd,412960.0,3.0,55,blues,blues,
0.513,0.546,0.0,-15.672,1.0,0.0391,0.333,0.0,0.17,0.834,85.527,audio_features,760clbeDBWmBsBLbszWuNZ,spotify:track:760clbeDBWmBsBLbszWuNZ,https://api.spotify.com/v1/tracks/760clbeDBWmBsBLbszWuNZ,https://api.spotify.com/v1/audio-analysis/760clbeDBWmBsBLbszWuNZ,164547.0,4.0,55,blues,blues,
0.457,0.412,7.0,-11.138,0.0,0.0369,0.0516,4.35e-05,0.275,0.44,129.423,audio_features,6y5eBHh57iYViDkK4Hn6R7,spotify:track:6y5eBHh57iYViDkK4Hn6R7,https://api.spotify.com/v1/tracks/6y5eBHh57iYViDkK4Hn6R7,https://api.spotify.com/v1/audio-analysis/6y5eBHh57iYViDkK4Hn6R7,172693.0,4.0,53,blues,blues,
0.353,0.921,2.0,-5.64,1.0,0.0758,0.0488,0.065,0.314,0.526,145.589,audio_features,2FtX5tOFUVOyjcGQiuGR8f,spotify:track:2FtX5tOFUVOyjcGQiuGR8f,https://api.spotify.com/v1/tracks/2FtX5tOFUVOyjcGQiuGR8f,https://api.spotify.com/v1/audio-analysis/2FtX5tOFUVOyjcGQiuGR8f,271653.0,3.0,55,blues,blues,
