danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.674,0.646,5,-5.876,1,0.027,0.486,8.37e-05,0.262,0.613,148.1,audio_features,1qHRFZE8qykNXYZadzmi1m,spotify:track:1qHRFZE8qykNXYZadzmi1m,https://api.spotify.com/v1/tracks/1qHRFZE8qykNXYZadzmi1m,https://api.spotify.com/v1/audio-analysis/1qHRFZE8qykNXYZadzmi1m,209320,4,66,country,country
0.558,0.818,8,-4.07,1,0.0403,0.071,0.0,0.21,0.453,81.034,audio_features,0iA1unTbTbDOWUSlbwJ1pS,spotify:track:0iA1unTbTbDOWUSlbwJ1pS,https://api.spotify.com/v1/tracks/0iA1unTbTbDOWUSlbwJ1pS,https://api.spotify.com/v1/audio-analysis/0iA1unTbTbDOWUSlbwJ1pS,184507,4,63,country,country
0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,79,country,country
0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,audio_features,4obHzpwGrjoTuZh2DItEMZ,spotify:track:4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/tracks/4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/audio-analysis/4obHzpwGrjoTuZh2DItEMZ,210507,4,75,country,country
0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,audio_features,0w3Q14i073jLoew1hgJkwD,spotify:track:0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD,205200,4,72,country,country
0.523,0.501,1,-9.276,1,0.0366,0.459,0.0,0.0818,0.391,158.179,audio_features,1S4fpfX2u0hzFD9vb6FEB6,spotify:track:1S4fpfX2u0hzFD9vb6FEB6,https://api.spotify.com/v1/tracks/1S4fpfX2u0hzFD9vb6FEB6,https://api.spotify.com/v1/audio-analysis/1S4fpfX2u0hzFD9vb6FEB6,201267,4,62,country,country
0.535,0.56,4,-6.586,1,0.0901,0.287,0.0,0.209,0.785,164.17,audio_features,4YKAOXyqkKZ5gOZR0AmVMN,spotify:track:4YKAOXyqkKZ5gOZR0AmVMN,https://api.spotify.com/v1/tracks/4YKAOXyqkKZ5gOZR0AmVMN,https://api.spotify.com/v1/audio-analysis/4YKAOXyqkKZ5gOZR0AmVMN,223387,4,64,country,country
0.652,0.719,1,-7.251,1,0.033,0.0353,0.0,0.108,0.24,94.969,audio_features,3izNaTiYdotdPL0Bs76JqO,spotify:track:3izNaTiYdotdPL0Bs76JqO,https://api.spotify.com/v1/tracks/3izNaTiYdotdPL0Bs76JqO,https://api.spotify.com/v1/audio-analysis/3izNaTiYdotdPL0Bs76JqO,197640,4,66,country,country
0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,audio_features,7aEtlGHoiPAfRB084NiDmx,spotify:track:7aEtlGHoiPAfRB084NiDmx,https://api.spotify.com/v1/tracks/7aEtlGHoiPAfRB084NiDmx,https://api.spotify.com/v1/audio-analysis/7aEtlGHoiPAfRB084NiDmx,186733,4,77,country,country
0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,audio_features,6E9V9TRlVOLjenGjHemzEH,spotify:track:6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/tracks/6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/audio-analysis/6E9V9TRlVOLjenGjHemzEH,224293,4,68,country,country
0.603,0.807,7,-6.999,1,0.045,0.0123,0.0,0.539,0.685,124.099,audio_features,4aGG4VOWGv9RwlYQNsBrkE,spotify:track:4aGG4VOWGv9RwlYQNsBrkE,https://api.spotify.com/v1/tracks/4aGG4VOWGv9RwlYQNsBrkE,https://api.spotify.com/v1/audio-analysis/4aGG4VOWGv9RwlYQNsBrkE,160991,4,65,country,country
0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512,audio_features,7GQjJEwqlp6m5HNWVQd6OR,spotify:track:7GQjJEwqlp6m5HNWVQd6OR,https://api.spotify.com/v1/tracks/7GQjJEwqlp6m5HNWVQd6OR,https://api.spotify.com/v1/audio-analysis/7GQjJEwqlp6m5HNWVQd6OR,215853,4,71,country,country
0.648,0.667,0,-8.986,1,0.0311,0.0534,6.94e-06,0.0908,0.669,109.609,audio_features,7rDcULv8vV16vetBjPJhuE,spotify:track:7rDcULv8vV16vetBjPJhuE,https://api.spotify.com/v1/tracks/7rDcULv8vV16vetBjPJhuE,https://api.spotify.com/v1/audio-analysis/7rDcULv8vV16vetBjPJhuE,209067,4,65,country,country
0.532,0.842,5,-5.754,1,0.0503,0.0409,0.0,0.217,0.67,90.187,audio_features,57I7CUbXo4XlWuTVB8pXW6,spotify:track:57I7CUbXo4XlWuTVB8pXW6,https://api.spotify.com/v1/tracks/57I7CUbXo4XlWuTVB8pXW6,https://api.spotify.com/v1/audio-analysis/57I7CUbXo4XlWuTVB8pXW6,243667,4,63,country,country
0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,audio_features,5HGibWoxnkYSkl6mHmAlOE,spotify:track:5HGibWoxnkYSkl6mHmAlOE,https://api.spotify.com/v1/tracks/5HGibWoxnkYSkl6mHmAlOE,https://api.spotify.com/v1/audio-analysis/5HGibWoxnkYSkl6mHmAlOE,190187,4,71,country,country
0.638,0.367,4,-7.906,1,0.0266,0.84,0.0,0.0999,0.219,71.957,audio_features,2VIPU72L6tIR4w8J8ap6Kp,spotify:track:2VIPU72L6tIR4w8J8ap6Kp,https://api.spotify.com/v1/tracks/2VIPU72L6tIR4w8J8ap6Kp,https://api.spotify.com/v1/audio-analysis/2VIPU72L6tIR4w8J8ap6Kp,217120,4,68,country,country
0.663,0.53,1,-9.763,1,0.0301,0.0886,0.0,0.154,0.269,109.003,audio_features,4QAXLB2Hkx3n7LbOFxD34h,spotify:track:4QAXLB2Hkx3n7LbOFxD34h,https://api.spotify.com/v1/tracks/4QAXLB2Hkx3n7LbOFxD34h,https://api.spotify.com/v1/audio-analysis/4QAXLB2Hkx3n7LbOFxD34h,207347,4,61,country,country
0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.579,137.071,audio_features,4KAzYqfcijCSZa2P3etHoM,spotify:track:4KAzYqfcijCSZa2P3etHoM,https://api.spotify.com/v1/tracks/4KAzYqfcijCSZa2P3etHoM,https://api.spotify.com/v1/audio-analysis/4KAzYqfcijCSZa2P3etHoM,204200,4,66,country,country
0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,audio_features,4gB7HrYHbJVJ5RFOjxmoq4,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/tracks/4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/audio-analysis/4gB7HrYHbJVJ5RFOjxmoq4,221800,4,72,country,country
0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,audio_features,0sKEilrw1GrBlG6qsTCrP4,spotify:track:0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/tracks/0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4,190680,4,73,country,country
0.652,0.654,1,-6.69,1,0.0377,0.252,0.000553,0.117,0.605,120.019,audio_features,2lFtnEmkIPm2ClN55e2chV,spotify:track:2lFtnEmkIPm2ClN55e2chV,https://api.spotify.com/v1/tracks/2lFtnEmkIPm2ClN55e2chV,https://api.spotify.com/v1/audio-analysis/2lFtnEmkIPm2ClN55e2chV,211160,4,61,country,country
0.491,0.841,5,-3.579,1,0.0421,0.0471,0.0,0.0886,0.721,199.851,audio_features,6XD3HMATLswheYevIfKkSi,spotify:track:6XD3HMATLswheYevIfKkSi,https://api.spotify.com/v1/tracks/6XD3HMATLswheYevIfKkSi,https://api.spotify.com/v1/audio-analysis/6XD3HMATLswheYevIfKkSi,163067,4,65,country,country
0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,audio_features,2YMhrXQYKkm4kXLcXKKd5z,spotify:track:2YMhrXQYKkm4kXLcXKKd5z,https://api.spotify.com/v1/tracks/2YMhrXQYKkm4kXLcXKKd5z,https://api.spotify.com/v1/audio-analysis/2YMhrXQYKkm4kXLcXKKd5z,205733,4,68,country,country
0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,audio_features,5JnLiuMgRAWoHYOhatFP3s,spotify:track:5JnLiuMgRAWoHYOhatFP3s,https://api.spotify.com/v1/tracks/5JnLiuMgRAWoHYOhatFP3s,https://api.spotify.com/v1/audio-analysis/5JnLiuMgRAWoHYOhatFP3s,231360,4,66,country,country
0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,audio_features,0JbSghVDghtFEurrSO8JrC,spotify:track:0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/tracks/0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/audio-analysis/0JbSghVDghtFEurrSO8JrC,225560,4,77,country,country
0.516,0.745,9,-5.674,1,0.0381,0.138,0.0,0.114,0.77,177.781,audio_features,4sHOAALFZiNa4wukjPSBpq,spotify:track:4sHOAALFZiNa4wukjPSBpq,https://api.spotify.com/v1/tracks/4sHOAALFZiNa4wukjPSBpq,https://api.spotify.com/v1/audio-analysis/4sHOAALFZiNa4wukjPSBpq,235147,4,59,country,country
0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,audio_features,4Pn0JlCUusD2QHjADuOzuV,spotify:track:4Pn0JlCUusD2QHjADuOzuV,https://api.spotify.com/v1/tracks/4Pn0JlCUusD2QHjADuOzuV,https://api.spotify.com/v1/audio-analysis/4Pn0JlCUusD2QHjADuOzuV,259267,3,69,country,country
0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,audio_features,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478,4,85,country,country
0.592,0.891,10,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983,audio_features,3dCZm5HrG0jIXAHfNkg2H0,spotify:track:3dCZm5HrG0jIXAHfNkg2H0,https://api.spotify.com/v1/tracks/3dCZm5HrG0jIXAHfNkg2H0,https://api.spotify.com/v1/audio-analysis/3dCZm5HrG0jIXAHfNkg2H0,174255,4,69,country,country
0.456,0.679,1,-4.802,1,0.0324,0.176,0.0,0.103,0.483,184.075,audio_features,1WQ40xJSvgDmD9K7ckJwux,spotify:track:1WQ40xJSvgDmD9K7ckJwux,https://api.spotify.com/v1/tracks/1WQ40xJSvgDmD9K7ckJwux,https://api.spotify.com/v1/audio-analysis/1WQ40xJSvgDmD9K7ckJwux,212030,4,72,country,country
0.548,0.673,1,-5.29,1,0.0268,0.0158,0.0,0.0794,0.652,81.947,audio_features,4CcrLWFQY4dRGMbUR59cSp,spotify:track:4CcrLWFQY4dRGMbUR59cSp,https://api.spotify.com/v1/tracks/4CcrLWFQY4dRGMbUR59cSp,https://api.spotify.com/v1/audio-analysis/4CcrLWFQY4dRGMbUR59cSp,200533,4,58,country,country
0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,audio_features,0OWZFobGSIW9GrSlQ9C5pc,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc,205453,4,69,country,country
0.571,0.818,4,-6.539,1,0.0415,0.151,0.0,0.348,0.728,163.045,audio_features,2IY559smG7SXYk229NA2Vl,spotify:track:2IY559smG7SXYk229NA2Vl,https://api.spotify.com/v1/tracks/2IY559smG7SXYk229NA2Vl,https://api.spotify.com/v1/audio-analysis/2IY559smG7SXYk229NA2Vl,158627,4,67,country,country
0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,audio_features,1wb4P4F0sxAQ2KXrRvsx6n,spotify:track:1wb4P4F0sxAQ2KXrRvsx6n,https://api.spotify.com/v1/tracks/1wb4P4F0sxAQ2KXrRvsx6n,https://api.spotify.com/v1/audio-analysis/1wb4P4F0sxAQ2KXrRvsx6n,212200,4,77,country,country
0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,audio_features,6sxptembJVty4sNtcPMAVz,spotify:track:6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/tracks/6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/audio-analysis/6sxptembJVty4sNtcPMAVz,234493,4,77,country,country
0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,audio_features,59kHPbwyyCApYA8RQQEuXm,spotify:track:59kHPbwyyCApYA8RQQEuXm,https://api.spotify.com/v1/tracks/59kHPbwyyCApYA8RQQEuXm,https://api.spotify.com/v1/audio-analysis/59kHPbwyyCApYA8RQQEuXm,148160,4,72,country,country
0.607,0.815,4,-6.619,1,0.039,0.0471,2.81e-05,0.111,0.57,136.949,audio_features,6Lmx6bz3PGYuNSjKMnYBOa,spotify:track:6Lmx6bz3PGYuNSjKMnYBOa,https://api.spotify.com/v1/tracks/6Lmx6bz3PGYuNSjKMnYBOa,https://api.spotify.com/v1/audio-analysis/6Lmx6bz3PGYuNSjKMnYBOa,209760,4,68,country,country
0.585,0.793,7,-3.713,1,0.0322,0.351,0.0,0.3,0.732,133.839,audio_features,18BajNiyvH6GpYshB0unrm,spotify:track:18BajNiyvH6GpYshB0unrm,https://api.spotify.com/v1/tracks/18BajNiyvH6GpYshB0unrm,https://api.spotify.com/v1/audio-analysis/18BajNiyvH6GpYshB0unrm,208413,4,71,country,country
0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,audio_features,2ulBBx6YQ3qY3ci34RadtN,spotify:track:2ulBBx6YQ3qY3ci34RadtN,https://api.spotify.com/v1/tracks/2ulBBx6YQ3qY3ci34RadtN,https://api.spotify.com/v1/audio-analysis/2ulBBx6YQ3qY3ci34RadtN,248200,4,68,country,country
0.708,0.524,5,-12.644,1,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,audio_features,6iy4PoAuZBMvtrlDX4VxC7,spotify:track:6iy4PoAuZBMvtrlDX4VxC7,https://api.spotify.com/v1/tracks/6iy4PoAuZBMvtrlDX4VxC7,https://api.spotify.com/v1/audio-analysis/6iy4PoAuZBMvtrlDX4VxC7,200667,4,71,country,country
0.572,0.449,1,-6.566,1,0.0264,0.314,0.0,0.0301,0.207,122.632,audio_features,5Pgwi0iizu96RHxJ4xL3SH,spotify:track:5Pgwi0iizu96RHxJ4xL3SH,https://api.spotify.com/v1/tracks/5Pgwi0iizu96RHxJ4xL3SH,https://api.spotify.com/v1/audio-analysis/5Pgwi0iizu96RHxJ4xL3SH,291533,3,66,country,country
0.428,0.51,7,-11.695,0,0.103,0.52,8.32e-06,0.105,0.393,169.967,audio_features,2MiXC2LfpsoeUP5RvMGEQ3,spotify:track:2MiXC2LfpsoeUP5RvMGEQ3,https://api.spotify.com/v1/tracks/2MiXC2LfpsoeUP5RvMGEQ3,https://api.spotify.com/v1/audio-analysis/2MiXC2LfpsoeUP5RvMGEQ3,257267,4,65,country,country
0.735,0.488,9,-10.56,1,0.026,0.596,1.1e-06,0.0949,0.452,102.383,audio_features,2M38X60UJnupGPbFTkVPNQ,spotify:track:2M38X60UJnupGPbFTkVPNQ,https://api.spotify.com/v1/tracks/2M38X60UJnupGPbFTkVPNQ,https://api.spotify.com/v1/audio-analysis/2M38X60UJnupGPbFTkVPNQ,261227,4,60,country,country
0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,audio_features,6qc34bnVOyqGDPni8H5W0U,spotify:track:6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4,70,country,country
0.592,0.725,8,-8.698,1,0.0412,0.207,0.0,0.148,0.784,78.235,audio_features,0pdfN7nOHMYmKykzu1cyfm,spotify:track:0pdfN7nOHMYmKykzu1cyfm,https://api.spotify.com/v1/tracks/0pdfN7nOHMYmKykzu1cyfm,https://api.spotify.com/v1/audio-analysis/0pdfN7nOHMYmKykzu1cyfm,246760,4,72,country,country
0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.942,audio_features,0Xg68XXMRWzKQvD5S6BFvI,spotify:track:0Xg68XXMRWzKQvD5S6BFvI,https://api.spotify.com/v1/tracks/0Xg68XXMRWzKQvD5S6BFvI,https://api.spotify.com/v1/audio-analysis/0Xg68XXMRWzKQvD5S6BFvI,224667,4,70,country,country
0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,audio_features,1ipcb9qXpSHWhSUvdxJhsx,spotify:track:1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/tracks/1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/audio-analysis/1ipcb9qXpSHWhSUvdxJhsx,212640,4,70,country,country
0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,audio_features,6leiB1fEsTnVCuPiielde5,spotify:track:6leiB1fEsTnVCuPiielde5,https://api.spotify.com/v1/tracks/6leiB1fEsTnVCuPiielde5,https://api.spotify.com/v1/audio-analysis/6leiB1fEsTnVCuPiielde5,183733,4,69,country,country
0.674,0.517,11,-11.225,1,0.0726,0.226,0.0,0.0697,0.482,94.98,audio_features,0FtV0YbnnjD7PXpLHFHPhn,spotify:track:0FtV0YbnnjD7PXpLHFHPhn,https://api.spotify.com/v1/tracks/0FtV0YbnnjD7PXpLHFHPhn,https://api.spotify.com/v1/audio-analysis/0FtV0YbnnjD7PXpLHFHPhn,299733,4,65,country,country
